Dates,Summary,Precip Type,Temperature,Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),Daily Summary
2017-11-11,Mostly Cloudy,rain,17.2,0.67,17.6,48,11.2,1010.1,Mostly cloudy until night.
2017-11-12,Overcast,rain,17.2,0.71,14.1,46,11.0,1009.96,Mostly cloudy until night.
2017-11-13,Mostly Cloudy,rain,17.8,0.69,13.4,29,11.2,1009.86,Mostly cloudy until night.
2017-11-14,Mostly Cloudy,rain,17.8,0.69,14.6,19,11.2,1009.47,Mostly cloudy until night.
2017-11-15,Partly Cloudy,rain,17.7,0.69,9.2,340,11.0,1009.63,Mostly cloudy until night.
2017-11-16,Mostly Cloudy,rain,16.3,0.71,23.1,39,11.2,1009.39,Mostly cloudy until night.
2017-11-17,Overcast,rain,13.2,0.93,3.8,335,5.2,1011.07,Mostly cloudy until night.
2017-11-18,Overcast,rain,13.3,0.93,3.1,228,8.1,1011.23,Mostly cloudy until night.
2017-11-19,Overcast,rain,13.0,0.93,10.3,274,10.0,1011.35,Mostly cloudy until night.
2017-11-20,Mostly Cloudy,rain,,0.91,5.8,310,14.9,1011.67,Mostly cloudy until night.
2017-11-21,Mostly Cloudy,rain,12.5,0.9,9.9,315,14.6,1011.76,Mostly cloudy until night.
2017-11-22,Mostly Cloudy,rain,9.6,0.8,6.5,146,15.8,1015.68,Partly cloudy throughout the day.
2017-11-23,Mostly Cloudy,rain,,0.79,14.0,160,15.8,1015.41,Partly cloudy throughout the day.
2017-11-24,Partly Cloudy,rain,8.7,0.93,4.6,40,11.4,1014.98,Partly cloudy throughout the day.
2017-11-25,Mostly Cloudy,rain,10.5,0.77,10.8,143,15.8,1015.18,Partly cloudy throughout the day.
2017-11-26,Mostly Cloudy,rain,9.4,0.83,6.5,133,15.8,1014.7,Partly cloudy throughout the day.
2017-11-27,Mostly Cloudy,rain,9.9,0.83,6.1,163,15.0,1014.64,Partly cloudy throughout the day.
2017-11-28,Mostly Cloudy,rain,10.4,0.78,10.7,136,15.8,1014.31,Partly cloudy throughout the day.
2017-11-29,Partly Cloudy,rain,8.9,0.89,10.5,158,11.2,1014.63,Partly cloudy throughout the day.
2017-11-30,Partly Cloudy,rain,10.0,0.84,8.0,151,11.0,1014.82,Partly cloudy throughout the day.
2017-12-01,Mostly Cloudy,rain,12.2,0.73,2.5,355,10.0,1014.82,Partly cloudy throughout the day.
2017-12-02,Mostly Cloudy,rain,14.0,0.67,9.3,123,10.0,1015,Partly cloudy throughout the day.
2017-12-03,Mostly Cloudy,rain,14.9,0.67,7.2,132,10.4,1014.9,Partly cloudy throughout the day.
2017-12-04,Mostly Cloudy,rain,16.2,0.71,11.8,199,10.0,1014.35,Partly cloudy throughout the day.
2017-12-05,Partly Cloudy,rain,16.4,0.61,7.1,227,11.3,1014.51,Partly cloudy throughout the day.
2017-12-06,Partly Cloudy,rain,17.4,0.57,3.6,251,11.4,1014.32,Partly cloudy throughout the day.
2017-12-07,Partly Cloudy,rain,17.7,0.51,1.8,156,11.3,1013.93,Partly cloudy throughout the day.
2017-12-08,Partly Cloudy,rain,17.7,0.53,8.7,113,11.3,1013.45,Partly cloudy throughout the day.
2017-12-09,Partly Cloudy,rain,16.2,0.61,2.8,261,11.4,1013.43,Partly cloudy throughout the day.
2017-12-10,Mostly Cloudy,rain,14.1,0.71,9.2,357,11.2,1013.58,Partly cloudy throughout the day.
2017-12-11,Partly Cloudy,rain,14.0,0.76,7.4,147,11.2,1013.24,Partly cloudy throughout the day.
2017-12-12,Partly Cloudy,rain,12.3,0.8,3.5,161,11.0,1013.7,Partly cloudy throughout the day.
2017-12-13,Partly Cloudy,rain,10.0,0.86,3.1,149,9.9,1014.14,Partly cloudy throughout the day.
2017-12-14,Partly Cloudy,rain,9.4,0.86,6.4,190,15.6,1014.34,Partly cloudy throughout the day.
2017-12-15,Partly Cloudy,rain,9.4,0.9,4.6,138,14.7,1014.6,Partly cloudy throughout the day.
2017-12-16,Partly Cloudy,rain,11.8,0.92,3.0,311,15.8,1011.68,Foggy starting overnight continuing until morning.
2017-12-17,Foggy,rain,10.8,0.91,5.2,178,0.6,1011.98,Foggy starting overnight continuing until morning.
2017-12-18,Mostly Cloudy,rain,12.2,0.95,2.8,298,3.6,1015.64,Foggy starting overnight continuing until morning.
2017-12-19,Foggy,rain,9.7,0.94,5.7,123,0.6,1012.26,Foggy starting overnight continuing until morning.
2017-12-20,Foggy,rain,8.2,0.94,6.8,10,0.6,1012.63,Foggy starting overnight continuing until morning.
2017-12-21,Foggy,rain,10.2,0.95,5.6,133,1.1,1012.62,Foggy starting overnight continuing until morning.
2017-12-22,Foggy,rain,10.1,0.99,2.3,127,0.5,1012.85,Foggy starting overnight continuing until morning.
2017-12-23,Foggy,rain,10.2,0.99,0.3,81,0.4,1013.61,Foggy starting overnight continuing until morning.
2017-12-24,Foggy,rain,11.2,0.98,2.8,358,0.7,1013.9,Foggy starting overnight continuing until morning.
2017-12-25,Foggy,rain,12.2,0.99,2.3,152,2.2,1014.31,Foggy starting overnight continuing until morning.
2017-12-26,Overcast,rain,13.9,0.92,8.1,135,4.2,1014.43,Foggy starting overnight continuing until morning.
2017-12-27,Partly Cloudy,rain,15.6,0.82,2.3,153,6.3,1014.73,Foggy starting overnight continuing until morning.
2017-12-28,Partly Cloudy,rain,15.1,0.86,3.3,120,6.3,1014.92,Foggy starting overnight continuing until morning.
2017-12-29,Partly Cloudy,rain,15.1,0.82,7.6,162,8.2,1014.73,Foggy starting overnight continuing until morning.
2017-12-30,Overcast,rain,14.3,0.87,10.6,134,6.9,1014.92,Foggy starting overnight continuing until morning.
2017-12-31,Mostly Cloudy,rain,16.0,0.81,6.7,115,7.3,1014.76,Foggy starting overnight continuing until morning.
2018-01-01,Overcast,rain,15.0,0.86,7.7,139,7.3,1014.37,Foggy starting overnight continuing until morning.
2018-01-02,Overcast,rain,13.9,0.89,7.3,152,6.3,1014.83,Foggy starting overnight continuing until morning.
2018-01-03,Overcast,rain,12.9,0.95,11.5,310,4.7,1015.11,Foggy starting overnight continuing until morning.
2018-01-04,Overcast,rain,12.9,0.95,5.3,347,5.2,1015.14,Foggy starting overnight continuing until morning.
2018-01-05,Overcast,rain,12.4,0.98,2.4,72,5.8,1015.5,Foggy starting overnight continuing until morning.
2018-01-06,Clear,rain,,0.99,8.1,320,6.2,1015.76,Foggy starting overnight continuing until morning.
2018-01-07,Mostly Cloudy,rain,12.2,0.96,6.2,349,6.2,1016.35,Foggy starting overnight continuing until morning.
2018-01-08,Mostly Cloudy,rain,11.3,0.96,2.8,335,3.8,1016.38,Foggy starting overnight continuing until morning.
2018-01-09,Mostly Cloudy,rain,11.5,0.96,3.2,358,4.5,1016.43,Foggy in the morning.
2018-01-10,Foggy,rain,11.5,0.96,6.0,301,3.1,1016.56,Foggy in the morning.
2018-01-11,Foggy,rain,9.4,0.96,6.0,326,1.8,1017.23,Foggy in the morning.
2018-01-12,Overcast,rain,11.4,0.96,6.3,340,3.9,1016.17,Foggy in the morning.
2018-01-13,Overcast,rain,11.4,0.96,6.4,350,3.9,1016.25,Foggy in the morning.
2018-01-14,Overcast,rain,11.5,0.96,6.4,332,3.3,1016.13,Foggy in the morning.
2018-01-15,Foggy,rain,11.9,0.93,4.8,340,0.6,1016.17,Foggy in the morning.
2018-01-16,Foggy,rain,12.0,1,9.7,10,1.3,1016.45,Foggy in the morning.
2018-01-17,Foggy,rain,12.6,0.96,7.7,7,2.4,1016.94,Foggy in the morning.
2018-01-18,Overcast,rain,12.8,0.96,8.0,1,4.0,1017.06,Foggy in the morning.
2018-01-19,Overcast,rain,13.8,0.9,7.9,30,4.5,1017.45,Foggy in the morning.
2018-01-20,Overcast,rain,13.2,0.94,10.4,8,6.3,1017.77,Foggy in the morning.
2018-01-21,Mostly Cloudy,rain,,0.86,8.1,345,6.2,1017.73,Foggy in the morning.
2018-01-22,Partly Cloudy,rain,17.2,0.75,7.2,308,11.3,1017.53,Foggy in the morning.
2018-01-23,Partly Cloudy,rain,16.3,0.76,13.3,352,11.0,1017.31,Foggy in the morning.
2018-01-24,Partly Cloudy,rain,17.4,0.74,13.6,353,11.3,1016.82,Foggy in the morning.
2018-01-25,Mostly Cloudy,rain,15.3,0.76,8.3,85,11.3,1016.6,Foggy in the morning.
2018-01-26,Partly Cloudy,rain,17.5,0.72,5.3,49,11.1,1016.39,Foggy in the morning.
2018-01-27,Partly Cloudy,rain,16.2,0.77,11.2,21,11.3,1016.33,Foggy in the morning.
2018-01-28,Partly Cloudy,rain,15.1,0.82,3.7,23,11.3,1016.52,Foggy in the morning.
2018-01-29,Partly Cloudy,rain,14.0,0.88,1.1,35,9.6,1016.81,Foggy in the morning.
2018-01-30,Partly Cloudy,rain,12.2,0.92,0.7,30,8.1,1017.34,Foggy in the morning.
2018-01-31,Foggy,rain,11.1,0.95,4.8,56,1.1,1017.54,Foggy in the morning.
2018-02-01,Foggy,rain,11.1,0.95,3.4,11,1.8,1017.43,Foggy in the morning.
2018-02-02,Foggy,rain,9.9,0.96,3.4,349,1.1,1017.65,Foggy starting overnight continuing until morning.
2018-02-03,Clear,rain,9.4,0.96,6.4,321,3.4,1017.56,Foggy starting overnight continuing until morning.
2018-02-04,Clear,rain,9.9,0.96,3.2,319,4.5,1016.16,Foggy starting overnight continuing until morning.
2018-02-05,Foggy,rain,8.3,0.99,3.3,313,1.9,1017.16,Foggy starting overnight continuing until morning.
2018-02-06,Foggy,rain,8.9,0.96,2.6,337,1.8,1017.15,Foggy starting overnight continuing until morning.
2018-02-07,Foggy,rain,8.8,0.96,3.9,335,2.4,1017.28,Foggy starting overnight continuing until morning.
2018-02-08,Foggy,rain,7.2,1,1.9,319,0.3,1017.15,Foggy starting overnight continuing until morning.
2018-02-09,Foggy,rain,8.9,0.99,3.5,295,1.8,1017.36,Foggy starting overnight continuing until morning.
2018-02-10,Foggy,rain,11.2,0.93,2.9,285,2.6,1017.7,Foggy starting overnight continuing until morning.
2018-02-11,Mostly Cloudy,rain,12.4,0.98,3.4,349,6.3,1017.72,Foggy starting overnight continuing until morning.
2018-02-12,Mostly Cloudy,rain,14.1,0.88,4.9,339,10.0,1017.82,Foggy starting overnight continuing until morning.
2018-02-13,Partly Cloudy,rain,17.1,0.72,3.1,308,11.1,1017.77,Foggy starting overnight continuing until morning.
2018-02-14,Partly Cloudy,rain,18.9,0.64,4.2,306,11.3,1017.3,Foggy starting overnight continuing until morning.
2018-02-15,Partly Cloudy,rain,17.9,0.68,4.1,6,11.3,1016.9,Foggy starting overnight continuing until morning.
2018-02-16,Partly Cloudy,rain,20.0,0.53,1.2,72,11.1,1016.4,Foggy starting overnight continuing until morning.
2018-02-17,Partly Cloudy,rain,20.1,0.62,9.1,352,11.3,1015.9,Foggy starting overnight continuing until morning.
2018-02-18,Partly Cloudy,rain,20.1,0.56,9.5,2,11.3,1015.29,Foggy starting overnight continuing until morning.
2018-02-19,Partly Cloudy,rain,20.1,0.58,7.5,15,11.4,1014.9,Foggy starting overnight continuing until morning.
2018-02-20,Partly Cloudy,rain,19.1,0.63,9.1,23,11.2,1014.68,Foggy starting overnight continuing until morning.
2018-02-21,Partly Cloudy,rain,17.5,0.62,7.6,24,11.2,1014.78,Foggy starting overnight continuing until morning.
2018-02-22,Partly Cloudy,rain,15.6,0.74,0.5,116,10.0,1015.04,Foggy starting overnight continuing until morning.
2018-02-23,Clear,rain,12.5,0.91,3.9,197,10.0,1015.51,Foggy starting overnight continuing until morning.
2018-02-24,Clear,rain,12.2,0.89,1.5,140,15.8,1015.72,Foggy starting overnight continuing until morning.
2018-02-25,Clear,rain,11.4,0.92,3.0,275,15.0,1015.79,Foggy starting overnight continuing until morning.
2018-02-26,Clear,rain,10.6,0.95,6.0,290,14.8,1015.83,Foggy in the morning.
2018-02-27,Clear,rain,10.5,0.93,3.1,270,9.8,1015.95,Foggy in the morning.
2018-02-28,Partly Cloudy,rain,10.3,0.95,5.3,278,4.7,1017.13,Foggy in the morning.
2018-03-01,Clear,rain,9.4,0.96,1.5,100,4.0,1015.82,Foggy in the morning.
2018-03-02,Foggy,rain,8.3,0.96,3.2,300,2.0,1015.82,Foggy in the morning.
2018-03-03,Foggy,rain,8.8,0.96,3.4,333,1.7,1015.89,Foggy in the morning.
2018-03-04,Foggy,rain,8.7,0.93,6.3,304,0.8,1015.83,Foggy in the morning.
2018-03-05,Partly Cloudy,rain,11.9,0.93,11.3,140,9.8,1016.12,Foggy in the morning.
2018-03-06,Partly Cloudy,rain,14.5,0.84,1.7,129,9.5,1016.23,Foggy in the morning.
2018-03-07,Partly Cloudy,rain,18.7,0.68,3.2,300,10.0,1016.23,Foggy in the morning.
2018-03-08,Partly Cloudy,rain,20.0,0.6,7.2,160,10.0,1016.38,Foggy in the morning.
2018-03-09,Partly Cloudy,rain,21.0,0.55,6.5,209,10.0,1016.66,Foggy in the morning.
2018-03-10,Partly Cloudy,rain,,0.46,6.5,179,15.9,1016.58,Foggy in the morning.
2018-03-11,Partly Cloudy,rain,22.3,0.48,7.5,235,11.3,1016.27,Foggy in the morning.
2018-03-12,Partly Cloudy,rain,22.1,0.5,6.5,145,11.4,1015.96,Foggy in the morning.
2018-03-13,Partly Cloudy,rain,22.7,0.38,1.0,262,10.0,1015.34,Foggy in the morning.
2018-03-14,Partly Cloudy,rain,22.8,0.37,5.2,90,10.0,1014.7,Foggy in the morning.
2018-03-15,Partly Cloudy,rain,21.2,0.41,7.3,58,11.4,1015.2,Foggy in the morning.
2018-03-16,Partly Cloudy,rain,20.2,0.45,1.5,179,10.0,1014.87,Foggy in the morning.
2018-03-17,Partly Cloudy,rain,18.0,0.68,0.3,157,10.0,1014.78,Foggy in the morning.
2018-03-18,Partly Cloudy,rain,17.4,0.65,0.5,139,10.0,1015.54,Foggy in the morning.
2018-03-19,Partly Cloudy,rain,14.0,0.82,0.0,0,10.0,1016.01,Foggy in the morning.
2018-03-20,Partly Cloudy,rain,13.3,0.89,2.9,329,15.8,1016.52,Foggy in the morning.
2018-03-21,Partly Cloudy,rain,12.3,0.89,2.5,262,10.0,1016.96,Foggy in the morning.
2018-03-22,Partly Cloudy,rain,11.1,0.95,3.2,268,6.3,1017.04,Partly cloudy until evening.
2018-03-23,Partly Cloudy,rain,10.5,0.95,11.3,280,6.3,1017.33,Partly cloudy until evening.
2018-03-24,Clear,rain,12.4,0.8,4.6,172,14.2,1019.59,Partly cloudy until evening.
2018-03-25,Partly Cloudy,rain,9.9,0.96,3.1,273,3.8,1017.25,Partly cloudy until evening.
2018-03-26,Partly Cloudy,rain,8.9,0.95,1.5,320,3.4,1017.42,Partly cloudy until evening.
2018-03-27,Partly Cloudy,rain,8.7,0.94,3.6,317,4.3,1017.74,Partly cloudy until evening.
2018-03-28,Foggy,rain,7.7,1,0.0,0,0.7,1018.13,Partly cloudy until evening.
2018-03-29,Clear,rain,10.9,0.99,1.6,210,4.1,1018.62,Partly cloudy until evening.
2018-03-30,Clear,rain,14.8,0.82,2.7,193,8.3,1019.08,Partly cloudy until evening.
2018-03-31,Clear,rain,18.8,0.65,1.5,140,10.0,1019.11,Partly cloudy until evening.
2018-04-01,Clear,rain,21.1,0.49,4.9,199,10.0,1019.5,Partly cloudy until evening.
2018-04-02,Partly Cloudy,rain,22.0,0.49,4.3,226,11.0,1019.86,Partly cloudy until evening.
2018-04-03,Partly Cloudy,rain,22.8,0.47,3.6,188,11.2,1019.79,Partly cloudy until evening.
2018-04-04,Partly Cloudy,rain,22.9,0.37,4.6,292,10.0,1019.47,Partly cloudy until evening.
2018-04-05,Partly Cloudy,rain,23.9,0.37,6.3,154,10.4,1019.25,Partly cloudy until evening.
2018-04-06,Partly Cloudy,rain,23.9,0.4,2.6,333,10.0,1018.89,Partly cloudy until evening.
2018-04-07,Partly Cloudy,rain,23.9,0.37,4.3,178,10.0,1018.6,Partly cloudy until evening.
2018-04-08,Partly Cloudy,rain,23.9,0.32,1.2,205,10.4,1018.67,Partly cloudy until evening.
2018-04-09,Partly Cloudy,rain,22.8,0.44,3.1,214,10.0,1018.59,Partly cloudy until evening.
2018-04-10,Partly Cloudy,rain,21.2,0.48,0.4,181,10.0,1018.67,Partly cloudy until evening.
2018-04-11,Partly Cloudy,rain,19.1,0.51,2.7,185,10.0,1019.22,Partly cloudy until evening.
2018-04-12,Partly Cloudy,rain,17.1,0.63,1.6,228,10.0,1019.88,Partly cloudy until evening.
2018-04-13,Clear,rain,14.9,0.72,3.8,136,15.8,1019.91,Partly cloudy until evening.
2018-04-14,Clear,rain,13.1,0.87,3.4,185,15.0,1020.02,Partly cloudy until evening.
2018-04-15,Clear,rain,12.7,0.89,3.3,169,15.8,1020.11,Partly cloudy starting in the morning.
2018-04-16,Clear,rain,12.1,0.89,3.2,148,14.9,1020.12,Partly cloudy starting in the morning.
2018-04-17,Clear,rain,11.8,0.84,5.0,68,15.0,1018.38,Partly cloudy starting in the morning.
2018-04-18,Clear,rain,12.0,0.8,6.3,169,14.9,1019.91,Partly cloudy starting in the morning.
2018-04-19,Clear,rain,12.0,0.8,6.4,187,14.8,1020.03,Partly cloudy starting in the morning.
2018-04-20,Partly Cloudy,rain,10.6,0.86,9.7,151,14.1,1020.39,Partly cloudy starting in the morning.
2018-04-21,Clear,rain,,0.99,9.1,141,6.1,1020.6,Partly cloudy starting in the morning.
2018-04-22,Mostly Cloudy,rain,12.6,0.9,7.7,169,9.9,1020.81,Partly cloudy starting in the morning.
2018-04-23,Partly Cloudy,rain,15.0,0.78,8.8,154,9.9,1021.01,Partly cloudy starting in the morning.
2018-04-24,Partly Cloudy,rain,17.3,0.74,12.2,150,10.0,1020.94,Partly cloudy starting in the morning.
2018-04-25,Partly Cloudy,rain,19.1,0.67,12.6,150,10.0,1020.66,Partly cloudy starting in the morning.
2018-04-26,Partly Cloudy,rain,21.3,0.57,9.9,147,10.4,1020.53,Partly cloudy starting in the morning.
2018-04-27,Partly Cloudy,rain,22.4,0.54,11.4,168,11.2,1020.16,Partly cloudy starting in the morning.
2018-04-28,Mostly Cloudy,rain,22.9,0.5,8.5,155,11.2,1019.95,Partly cloudy starting in the morning.
2018-04-29,Mostly Cloudy,rain,23.9,0.47,11.3,153,11.4,1019.43,Partly cloudy starting in the morning.
2018-04-30,Mostly Cloudy,rain,24.0,0.47,8.3,142,10.0,1018.97,Partly cloudy starting in the morning.
2018-05-01,Mostly Cloudy,rain,24.0,0.38,8.6,150,10.0,1018.28,Partly cloudy starting in the morning.
2018-05-02,Mostly Cloudy,rain,23.1,0.42,10.7,145,10.4,1017.97,Partly cloudy starting in the morning.
2018-05-03,Mostly Cloudy,rain,22.8,0.44,12.5,178,10.0,1017.68,Partly cloudy starting in the morning.
2018-05-04,Mostly Cloudy,rain,21.1,0.47,5.2,137,10.0,1017.89,Partly cloudy starting in the morning.
2018-05-05,Mostly Cloudy,rain,18.2,0.58,4.9,95,10.4,1017.96,Partly cloudy starting in the morning.
2018-05-06,Mostly Cloudy,rain,16.0,0.72,4.6,50,10.0,1018.31,Partly cloudy starting in the morning.
2018-05-07,Partly Cloudy,rain,15.5,0.72,6.4,80,15.8,1018.6,Partly cloudy starting in the morning.
2018-05-08,Partly Cloudy,rain,14.6,0.76,6.7,83,15.0,1018.65,Partly cloudy starting in the morning.
2018-05-09,Clear,rain,13.3,0.82,3.5,73,15.8,1018.44,Mostly cloudy starting overnight continuing until night.
2018-05-10,Clear,rain,12.7,0.83,3.1,70,15.8,1018.23,Mostly cloudy starting overnight continuing until night.
2018-05-11,Partly Cloudy,rain,13.8,0.77,6.1,50,15.0,1014.58,Mostly cloudy starting overnight continuing until night.
2018-05-12,Partly Cloudy,rain,10.6,0.88,6.4,190,15.8,1018.11,Mostly cloudy starting overnight continuing until night.
2018-05-13,Partly Cloudy,rain,10.5,0.92,3.2,340,15.5,1017.73,Mostly cloudy starting overnight continuing until night.
2018-05-14,Partly Cloudy,rain,10.3,0.91,3.8,48,14.9,1017.7,Mostly cloudy starting overnight continuing until night.
2018-05-15,Clear,rain,10.0,0.92,1.6,106,11.0,1017.62,Mostly cloudy starting overnight continuing until night.
2018-05-16,Mostly Cloudy,rain,13.6,0.9,2.7,193,9.8,1017.54,Mostly cloudy starting overnight continuing until night.
2018-05-17,Mostly Cloudy,rain,16.7,0.74,7.2,147,10.4,1017.7,Mostly cloudy starting overnight continuing until night.
2018-05-18,Mostly Cloudy,rain,18.8,0.65,3.4,94,10.0,1017.78,Mostly cloudy starting overnight continuing until night.
2018-05-19,Mostly Cloudy,rain,21.2,0.59,4.6,178,10.0,1017.3,Mostly cloudy starting overnight continuing until night.
2018-05-20,Mostly Cloudy,rain,22.6,0.53,4.4,117,10.4,1017.19,Mostly cloudy starting overnight continuing until night.
2018-05-21,Mostly Cloudy,rain,22.9,0.48,7.7,53,11.3,1016.68,Mostly cloudy starting overnight continuing until night.
2018-05-22,Mostly Cloudy,rain,24.0,0.47,9.7,82,11.2,1016.08,Mostly cloudy starting overnight continuing until night.
2018-05-23,Mostly Cloudy,rain,24.0,0.35,8.0,70,11.4,1015.62,Mostly cloudy starting overnight continuing until night.
2018-05-24,Mostly Cloudy,rain,24.0,0.44,9.3,136,11.2,1014.86,Mostly cloudy starting overnight continuing until night.
2018-05-25,Mostly Cloudy,rain,25.0,0.32,3.6,185,11.2,1013.97,Mostly cloudy starting overnight continuing until night.
2018-05-26,Mostly Cloudy,rain,24.1,0.35,5.0,101,10.4,1013.39,Mostly cloudy starting overnight continuing until night.
2018-05-27,Mostly Cloudy,rain,22.4,0.45,9.5,102,10.0,1013.18,Mostly cloudy starting overnight continuing until night.
2018-05-28,Mostly Cloudy,rain,21.2,0.52,3.7,101,10.0,1013.21,Mostly cloudy starting overnight continuing until night.
2018-05-29,Mostly Cloudy,rain,18.3,0.62,6.2,28,10.4,1013.75,Mostly cloudy starting overnight continuing until night.
2018-05-30,Mostly Cloudy,rain,17.2,0.67,14.5,30,10.0,1014.13,Mostly cloudy starting overnight continuing until night.
2018-05-31,Partly Cloudy,rain,16.0,0.75,3.1,54,10.0,1014.13,Mostly cloudy starting overnight continuing until night.
2018-06-01,Clear,rain,16.0,0.79,12.3,23,11.9,1014.06,Mostly cloudy starting overnight continuing until night.
2018-06-02,Mostly Cloudy,rain,15.4,0.72,13.8,31,15.8,1013.92,Mostly cloudy throughout the day.
2018-06-03,Partly Cloudy,rain,14.4,0.75,11.0,52,15.8,1013.82,Mostly cloudy throughout the day.
2018-06-04,Mostly Cloudy,rain,13.6,0.9,10.0,53,12.0,1012.67,Mostly cloudy throughout the day.
2018-06-05,Partly Cloudy,rain,12.8,0.82,6.2,48,15.8,1013.04,Mostly cloudy throughout the day.
2018-06-06,Partly Cloudy,rain,12.8,0.83,3.3,72,15.8,1013.03,Mostly cloudy throughout the day.
2018-06-07,Partly Cloudy,rain,11.4,0.92,6.2,38,15.3,1012.98,Mostly cloudy throughout the day.
2018-06-08,Partly Cloudy,rain,12.3,0.86,2.5,139,10.0,1012.83,Mostly cloudy throughout the day.
2018-06-09,Mostly Cloudy,rain,14.9,0.78,10.3,160,10.0,1013.03,Mostly cloudy throughout the day.
2018-06-10,Mostly Cloudy,rain,15.9,0.74,10.3,154,10.0,1013.13,Mostly cloudy throughout the day.
2018-06-11,Mostly Cloudy,rain,17.2,0.72,12.1,147,10.0,1013.13,Mostly cloudy throughout the day.
2018-06-12,Mostly Cloudy,rain,17.8,0.73,7.5,166,10.0,1013.1,Mostly cloudy throughout the day.
2018-06-13,Mostly Cloudy,rain,17.9,0.72,10.1,158,10.0,1013.17,Mostly cloudy throughout the day.
2018-06-14,Mostly Cloudy,rain,19.1,0.67,9.1,128,10.0,1013,Mostly cloudy throughout the day.
2018-06-15,Mostly Cloudy,rain,20.1,0.67,7.5,177,10.0,1012.69,Mostly cloudy throughout the day.
2018-06-16,Mostly Cloudy,rain,20.3,0.62,3.9,166,10.0,1012.54,Mostly cloudy throughout the day.
2018-06-17,Mostly Cloudy,rain,21.2,0.62,4.6,170,10.0,1011.87,Mostly cloudy throughout the day.
2018-06-18,Overcast,rain,21.3,0.67,4.9,164,10.0,1011.19,Mostly cloudy throughout the day.
2018-06-19,Overcast,rain,20.2,0.66,7.2,161,10.0,1011.17,Mostly cloudy throughout the day.
2018-06-20,Overcast,rain,19.1,0.71,7.6,153,10.0,1011.08,Mostly cloudy throughout the day.
2018-06-21,Mostly Cloudy,rain,17.9,0.77,10.6,142,10.0,1011.28,Mostly cloudy throughout the day.
2018-06-22,Mostly Cloudy,rain,15.5,0.82,20.6,151,11.0,1012.08,Mostly cloudy throughout the day.
2018-06-23,Mostly Cloudy,rain,14.1,0.89,8.4,146,9.9,1012.64,Mostly cloudy throughout the day.
2018-06-24,Mostly Cloudy,rain,14.5,0.86,11.1,103,11.9,1012.79,Mostly cloudy throughout the day.
2018-06-25,Mostly Cloudy,rain,14.1,0.86,3.7,142,11.7,1012.79,Mostly cloudy throughout the day.
2018-06-26,Mostly Cloudy,rain,13.4,0.9,3.5,116,12.0,1012.56,Mostly cloudy throughout the day.
2018-06-27,Mostly Cloudy,rain,13.4,0.9,3.3,71,12.0,1012.8,Mostly cloudy throughout the day.
2018-06-28,Partly Cloudy,rain,11.6,0.74,5.5,139,15.0,1009.9,Mostly cloudy throughout the day.
2018-06-29,Mostly Cloudy,rain,14.4,0.83,10.8,63,14.9,1011.91,Mostly cloudy throughout the day.
2018-06-30,Mostly Cloudy,rain,13.9,0.86,10.7,72,14.8,1011.72,Mostly cloudy throughout the day.
2018-07-01,Mostly Cloudy,rain,13.4,0.9,10.3,82,14.1,1011.51,Mostly cloudy throughout the day.
2018-07-02,Overcast,rain,13.9,0.9,7.9,106,9.9,1011.51,Mostly cloudy throughout the day.
2018-07-03,Mostly Cloudy,rain,14.9,0.84,11.3,108,9.8,1011.6,Mostly cloudy throughout the day.
2018-07-04,Mostly Cloudy,rain,15.9,0.74,10.7,132,9.4,1011.59,Mostly cloudy throughout the day.
2018-07-05,Mostly Cloudy,rain,17.1,0.65,19.9,138,9.9,1011.41,Mostly cloudy throughout the day.
2018-07-06,Mostly Cloudy,rain,18.8,0.58,19.4,157,9.9,1011.2,Mostly cloudy throughout the day.
2018-07-07,Mostly Cloudy,rain,19.0,0.6,17.0,147,10.0,1011.25,Mostly cloudy throughout the day.
2018-07-08,Mostly Cloudy,rain,20.0,0.54,16.9,136,10.0,1010.98,Mostly cloudy throughout the day.
2018-07-09,Mostly Cloudy,rain,21.1,0.5,17.3,129,10.0,1010.48,Mostly cloudy throughout the day.
2018-07-10,Mostly Cloudy,rain,21.1,0.46,22.0,140,10.4,1010.24,Mostly cloudy throughout the day.
2018-07-11,Partly Cloudy,rain,21.2,0.43,19.8,157,10.0,1009.55,Mostly cloudy throughout the day.
2018-07-12,Partly Cloudy,rain,21.2,0.41,16.5,156,11.3,1009.04,Mostly cloudy throughout the day.
2018-07-13,Partly Cloudy,rain,20.1,0.45,13.8,137,11.4,1008.55,Mostly cloudy throughout the day.
2018-07-14,Mostly Cloudy,rain,19.0,0.51,9.8,147,11.3,1008.17,Mostly cloudy throughout the day.
2018-07-15,Mostly Cloudy,rain,17.8,0.59,14.1,121,11.2,1008.46,Mostly cloudy throughout the day.
2018-07-16,Mostly Cloudy,rain,16.3,0.66,11.3,122,9.9,1008.94,Mostly cloudy throughout the day.
2018-07-17,Partly Cloudy,rain,15.0,0.72,13.9,129,11.3,1009.55,Mostly cloudy throughout the day.
2018-07-18,Mostly Cloudy,rain,14.5,0.65,11.0,139,14.8,1009.57,Mostly cloudy throughout the day.
2018-07-19,Partly Cloudy,rain,13.9,0.6,10.8,150,15.0,1009.53,Mostly cloudy throughout the day.
